 wl,n
2274.59,1.36148
2281.42,1.36211
2288.25,1.36274
2295.08,1.36336
2301.91,1.36397
2308.74,1.36458
2315.57,1.36517
2322.4,1.36576
2329.23,1.36634
2336.07,1.36691
2342.9,1.36748
2349.73,1.36804
2356.56,1.36859
2363.39,1.36914
2370.22,1.36968
2377.05,1.37021
2383.88,1.37073
2390.71,1.37125
2397.54,1.37177
2404.37,1.37227
2411.2,1.37277
2418.03,1.37327
2424.86,1.37376
2431.69,1.37424
2438.52,1.37472
2445.36,1.37519
2452.19,1.37566
2459.02,1.37612
2465.85,1.37658
2472.68,1.37703
2479.51,1.37747
2486.34,1.37791
2493.17,1.37835
2500,1.37878
2506.83,1.37921
2513.66,1.37963
2520.49,1.38004
2527.32,1.38046
2534.15,1.38086
2540.98,1.38127
2547.81,1.38166
2554.64,1.38206
2561.48,1.38245
2568.31,1.38284
2575.14,1.38322
2581.97,1.3836
2588.8,1.38397
2595.63,1.38434
2602.46,1.3847
2609.29,1.38507
2616.12,1.38543
2622.95,1.38578
2629.78,1.38613
2636.61,1.38648
2643.44,1.38682
2650.27,1.38716
2657.1,1.3875
2663.93,1.38783
2670.77,1.38816
2677.6,1.38849
2684.43,1.38881
2691.26,1.38913
2698.09,1.38945
2704.92,1.38977
2711.75,1.39008
2718.58,1.39038
2725.41,1.39069
2732.24,1.39099
2739.07,1.39129
2745.9,1.39159
2752.73,1.39188
2759.56,1.39217
2766.39,1.39246
2773.22,1.39274
2780.05,1.39303
2786.89,1.39331
2793.72,1.39358
2800.55,1.39386
2807.38,1.39413
2814.21,1.3944
2821.04,1.39467
2827.87,1.39493
2834.7,1.39519
2841.53,1.39545
2848.36,1.39571
2855.19,1.39596
2862.02,1.39622
2868.85,1.39647
2875.68,1.39672
2882.51,1.39696
2889.34,1.39721
2896.17,1.39745
2903.01,1.39769
2909.84,1.39792
2916.67,1.39816
2923.5,1.39839
2930.33,1.39862
2937.16,1.39885
2943.99,1.39908
2950.82,1.39931
2957.65,1.39953
2964.48,1.39975
2971.31,1.39997
2978.14,1.40019
2984.97,1.4004
2991.8,1.40062
2998.63,1.40083
3005.46,1.40104
3012.3,1.40125
3019.13,1.40146
3025.96,1.40166
3032.79,1.40186
3039.62,1.40207
3046.45,1.40227
3053.28,1.40246
3060.11,1.40266
3066.94,1.40286
3073.77,1.40305
3080.6,1.40324
3087.43,1.40343
3094.26,1.40362
3101.09,1.40381
3107.92,1.40399
3114.75,1.40418
3121.58,1.40436
3128.42,1.40454
3135.25,1.40472
3142.08,1.4049
3148.91,1.40508
3155.74,1.40526
3162.57,1.40543
3169.4,1.4056
3176.23,1.40578
3183.06,1.40595
3189.89,1.40611
3196.72,1.40628
3203.55,1.40645
3210.38,1.40661
3217.21,1.40678
3224.04,1.40694
3230.87,1.4071
3237.7,1.40726
3244.54,1.40742
3251.37,1.40758
3258.2,1.40774
3265.03,1.40789
3271.86,1.40805
3278.69,1.4082
3285.52,1.40835
3292.35,1.4085
3299.18,1.40865
3306.01,1.4088
3312.84,1.40895
3319.67,1.4091
3326.5,1.40924
3333.33,1.40939
3340.16,1.40953
3346.99,1.40967
3353.83,1.40981
3360.66,1.40995
3367.49,1.41009
3374.32,1.41023
3381.15,1.41037
3387.98,1.41051
3394.81,1.41064
3401.64,1.41078
3408.47,1.41091
3415.3,1.41104
3422.13,1.41117
3428.96,1.4113
3435.79,1.41143
3442.62,1.41156
3449.45,1.41169
3456.28,1.41182
3463.11,1.41194
3469.95,1.41207
3476.78,1.41219
3483.61,1.41232
3490.44,1.41244
3497.27,1.41256
3504.1,1.41268
3510.93,1.4128
3517.76,1.41292
3524.59,1.41304
3531.42,1.41316
3538.25,1.41328
3545.08,1.41339
3551.91,1.41351
3558.74,1.41362
3565.57,1.41374
3572.4,1.41385
3579.23,1.41396
3586.07,1.41407
3592.9,1.41419
3599.73,1.4143
3606.56,1.41441
3613.39,1.41451
3620.22,1.41462
3627.05,1.41473
3633.88,1.41484
3640.71,1.41494
3647.54,1.41505
3654.37,1.41515
3661.2,1.41526
3668.03,1.41536
3674.86,1.41546
3681.69,1.41557
3688.52,1.41567
3695.36,1.41577
3702.19,1.41587
3709.02,1.41597
3715.85,1.41607
3722.68,1.41616
3729.51,1.41626
3736.34,1.41636
3743.17,1.41646
3750,1.41655
3756.83,1.41665
3763.66,1.41674
3770.49,1.41683
3777.32,1.41693
3784.15,1.41702
3790.98,1.41711
3797.81,1.41721
3804.64,1.4173
3811.48,1.41739
3818.31,1.41748
3825.14,1.41757
3831.97,1.41766
3838.8,1.41774
3845.63,1.41783
3852.46,1.41792
3859.29,1.41801
3866.12,1.41809
3872.95,1.41818
3879.78,1.41826
3886.61,1.41835
3893.44,1.41843
3900.27,1.41852
3907.1,1.4186
3913.93,1.41868
3920.77,1.41876
3927.6,1.41885
3934.43,1.41893
3941.26,1.41901
3948.09,1.41909
3954.92,1.41917
3961.75,1.41925
3968.58,1.41933
3975.41,1.41941
3982.24,1.41948
3989.07,1.41956
3995.9,1.41964
4002.73,1.41972
4009.56,1.41979
4016.39,1.41987
4023.22,1.41994
4030.05,1.42002
4036.89,1.42009
4043.72,1.42017
4050.55,1.42024
4057.38,1.42031
4064.21,1.42039
4071.04,1.42046
4077.87,1.42053
4084.7,1.4206
4091.53,1.42067
4098.36,1.42075
4105.19,1.42082
4112.02,1.42089
4118.85,1.42096
4125.68,1.42103
4132.51,1.42109
4139.34,1.42116
4146.17,1.42123
4153.01,1.4213
4159.84,1.42137
4166.67,1.42143
4173.5,1.4215
4180.33,1.42157
4187.16,1.42163
4193.99,1.4217
4200.82,1.42176
4207.65,1.42183
4214.48,1.42189
4221.31,1.42196
4228.14,1.42202
4234.97,1.42208
4241.8,1.42215
4248.63,1.42221
4255.46,1.42227
4262.3,1.42234
4269.13,1.4224
4275.96,1.42246
4282.79,1.42252
4289.62,1.42258
4296.45,1.42264
4303.28,1.4227
4310.11,1.42276
4316.94,1.42282
4323.77,1.42288
4330.6,1.42294
4337.43,1.423
4344.26,1.42306
4351.09,1.42312
4357.92,1.42317
4364.75,1.42323
4371.58,1.42329
4378.42,1.42334
4385.25,1.4234
4392.08,1.42346
4398.91,1.42351
4405.74,1.42357
4412.57,1.42362
4419.4,1.42368
4426.23,1.42373
4433.06,1.42379
4439.89,1.42384
4446.72,1.4239
4453.55,1.42395
4460.38,1.42401
4467.21,1.42406
4474.04,1.42411
4480.87,1.42416
4487.7,1.42422
4494.54,1.42427
4501.37,1.42432
4508.2,1.42437
4515.03,1.42442
4521.86,1.42448
4528.69,1.42453
4535.52,1.42458
4542.35,1.42463
4549.18,1.42468
4556.01,1.42473
4562.84,1.42478
4569.67,1.42483
4576.5,1.42488
4583.33,1.42492
4590.16,1.42497
4596.99,1.42502
4603.83,1.42507
4610.66,1.42512
4617.49,1.42517
4624.32,1.42521
4631.15,1.42526
4637.98,1.42531
4644.81,1.42535
4651.64,1.4254
4658.47,1.42545
4665.3,1.42549
4672.13,1.42554
4678.96,1.42559
4685.79,1.42563
4692.62,1.42568
4699.45,1.42572
4706.28,1.42577
4713.11,1.42581
4719.95,1.42586
4726.78,1.4259
4733.61,1.42594
4740.44,1.42599
4747.27,1.42603
4754.1,1.42607
4760.93,1.42612
4767.76,1.42616
4774.59,1.4262
4781.42,1.42625
4788.25,1.42629
4795.08,1.42633
4801.91,1.42637
4808.74,1.42642
4815.57,1.42646
4822.4,1.4265
4829.23,1.42654
4836.07,1.42658
4842.9,1.42662
4849.73,1.42666
4856.56,1.4267
4863.39,1.42674
4870.22,1.42678
4877.05,1.42682
4883.88,1.42686
4890.71,1.4269
4897.54,1.42694
4904.37,1.42698
4911.2,1.42702
4918.03,1.42706
4924.86,1.4271
4931.69,1.42714
4938.52,1.42718
4945.36,1.42721
4952.19,1.42725
4959.02,1.42729
4965.85,1.42733
4972.68,1.42736
4979.51,1.4274
4986.34,1.42744
4993.17,1.42748
5000,1.42751
5006.83,1.42755
5013.66,1.42759
5020.49,1.42762
5027.32,1.42766
5034.15,1.4277
5040.98,1.42773
5047.81,1.42777
5054.64,1.4278
5061.48,1.42784
5068.31,1.42787
5075.14,1.42791
5081.97,1.42794
5088.8,1.42798
5095.63,1.42801
5102.46,1.42805
5109.29,1.42808
5116.12,1.42812
5122.95,1.42815
5129.78,1.42818
5136.61,1.42822
5143.44,1.42825
5150.27,1.42829
5157.1,1.42832
5163.93,1.42835
5170.77,1.42839
5177.6,1.42842
5184.43,1.42845
5191.26,1.42848
5198.09,1.42852
5204.92,1.42855
5211.75,1.42858
5218.58,1.42861
5225.41,1.42865
5232.24,1.42868
5239.07,1.42871
5245.9,1.42874
5252.73,1.42877
5259.56,1.4288
5266.39,1.42883
5273.22,1.42887
5280.05,1.4289
5286.89,1.42893
5293.72,1.42896
5300.55,1.42899
5307.38,1.42902
5314.21,1.42905
5321.04,1.42908
5327.87,1.42911
5334.7,1.42914
5341.53,1.42917
5348.36,1.4292
5355.19,1.42923
5362.02,1.42926
5368.85,1.42929
5375.68,1.42932
5382.51,1.42935
5389.34,1.42937
5396.17,1.4294
5403.01,1.42943
5409.84,1.42946
5416.67,1.42949
5423.5,1.42952
5430.33,1.42955
5437.16,1.42957
5443.99,1.4296
5450.82,1.42963
5457.65,1.42966
5464.48,1.42969
5471.31,1.42971
5478.14,1.42974
5484.97,1.42977
5491.8,1.4298
5498.63,1.42982
5505.46,1.42985
5512.3,1.42988
5519.13,1.4299
5525.96,1.42993
5532.79,1.42996
5539.62,1.42998
5546.45,1.43001
5553.28,1.43004
5560.11,1.43006
5566.94,1.43009
5573.77,1.43012
5580.6,1.43014
5587.43,1.43017
5594.26,1.43019
5601.09,1.43022
5607.92,1.43024
5614.75,1.43027
5621.58,1.43029
5628.42,1.43032
5635.25,1.43035
5642.08,1.43037
5648.91,1.4304
5655.74,1.43042
5662.57,1.43044
5669.4,1.43047
5676.23,1.43049
5683.06,1.43052
5689.89,1.43054
5696.72,1.43057
5703.55,1.43059
5710.38,1.43062
5717.21,1.43064
5724.04,1.43066
5730.87,1.43069
5737.7,1.43071
5744.54,1.43073
5751.37,1.43076
5758.2,1.43078
5765.03,1.43081
5771.86,1.43083
5778.69,1.43085
5785.52,1.43088
5792.35,1.4309
5799.18,1.43092
5806.01,1.43094
5812.84,1.43097
5819.67,1.43099
5826.5,1.43101
5833.33,1.43103
5840.16,1.43106
5846.99,1.43108
5853.83,1.4311
5860.66,1.43112
5867.49,1.43115
5874.32,1.43117
5881.15,1.43119
5887.98,1.43121
5894.81,1.43123
5901.64,1.43126
5908.47,1.43128
5915.3,1.4313
5922.13,1.43132
5928.96,1.43134
5935.79,1.43136
