wavenumber,n
1900.32,3.47748
1903.14,3.47748
1905.95,3.47748
1908.76,3.47748
1911.58,3.47748
1914.39,3.47749
1917.2,3.47749
1920.02,3.47749
1922.83,3.47749
1925.64,3.47749
1928.46,3.47749
1931.27,3.47749
1934.08,3.47749
1936.9,3.47749
1939.71,3.47749
1942.52,3.47749
1945.34,3.47749
1948.15,3.4775
1950.96,3.4775
1953.78,3.4775
1956.59,3.4775
1959.41,3.4775
1962.22,3.4775
1965.03,3.4775
1967.85,3.4775
1970.66,3.4775
1973.47,3.4775
1976.29,3.4775
1979.1,3.4775
1981.91,3.47751
1984.73,3.47751
1987.54,3.47751
1990.35,3.47751
1993.17,3.47751
1995.98,3.47751
1998.79,3.47751
2001.61,3.47751
2004.42,3.47751
2007.23,3.47751
2010.05,3.47751
2012.86,3.47751
2015.68,3.47752
2018.49,3.47752
2021.3,3.47752
2024.12,3.47752
2026.93,3.47752
2029.74,3.47752
2032.56,3.47752
2035.37,3.47752
2038.18,3.47752
2041,3.47752
2043.81,3.47752
2046.62,3.47752
2049.44,3.47753
2052.25,3.47753
2055.06,3.47753
2057.88,3.47753
2060.69,3.47753
2063.5,3.47753
2066.32,3.47753
2069.13,3.47753
2071.95,3.47753
2074.76,3.47753
2077.57,3.47753
2080.39,3.47753
2083.2,3.47754
2086.01,3.47754
2088.83,3.47754
2091.64,3.47754
2094.45,3.47754
2097.27,3.47754
2100.08,3.47754
2102.89,3.47754
2105.71,3.47754
2108.52,3.47754
2111.33,3.47754
2114.15,3.47755
2116.96,3.47755
2119.77,3.47755
2122.59,3.47755
2125.4,3.47755
2128.22,3.47755
2131.03,3.47755
2133.84,3.47755
2136.66,3.47755
2139.47,3.47755
2142.28,3.47755
2145.1,3.47756
2147.91,3.47756
2150.72,3.47756
2153.54,3.47756
2156.35,3.47756
2159.16,3.47756
2161.98,3.47756
2164.79,3.47756
2167.6,3.47756
2170.42,3.47756
2173.23,3.47756
2176.05,3.47757
2178.86,3.47757
2181.67,3.47757
2184.49,3.47757
2187.3,3.47757
2190.11,3.47757
2192.93,3.47757
2195.74,3.47757
2198.55,3.47757
2201.37,3.47757
2204.18,3.47757
2206.99,3.47758
2209.81,3.47758
2212.62,3.47758
2215.43,3.47758
2218.25,3.47758
2221.06,3.47758
2223.87,3.47758
2226.69,3.47758
2229.5,3.47758
2232.32,3.47758
2235.13,3.47758
2237.94,3.47759
2240.76,3.47759
2243.57,3.47759
2246.38,3.47759
2249.2,3.47759
2252.01,3.47759
2254.82,3.47759
2257.64,3.47759
2260.45,3.47759
2263.26,3.47759
2266.08,3.4776
2268.89,3.4776
2271.7,3.4776
2274.52,3.4776
2277.33,3.4776
2280.14,3.4776
2282.96,3.4776
2285.77,3.4776
2288.59,3.4776
2291.4,3.4776
2294.21,3.4776
2297.03,3.47761
2299.84,3.47761
2302.65,3.47761
2305.47,3.47761
2308.28,3.47761
2311.09,3.47761
2313.91,3.47761
2316.72,3.47761
2319.53,3.47761
2322.35,3.47761
2325.16,3.47762
2327.97,3.47762
2330.79,3.47762
2333.6,3.47762
2336.41,3.47762
2339.23,3.47762
2342.04,3.47762
2344.86,3.47762
2347.67,3.47762
2350.48,3.47762
2353.3,3.47763
2356.11,3.47763
2358.92,3.47763
2361.74,3.47763
2364.55,3.47763
2367.36,3.47763
2370.18,3.47763
2372.99,3.47763
2375.8,3.47763
2378.62,3.47763
2381.43,3.47764
2384.24,3.47764
2387.06,3.47764
2389.87,3.47764
2392.68,3.47764
2395.5,3.47764
2398.31,3.47764
2401.13,3.47764
2403.94,3.47764
2406.75,3.47764
2409.57,3.47765
2412.38,3.47765
2415.19,3.47765
2418.01,3.47765
2420.82,3.47765
2423.63,3.47765
2426.45,3.47765
2429.26,3.47765
2432.07,3.47765
2434.89,3.47765
2437.7,3.47766
2440.51,3.47766
2443.33,3.47766
2446.14,3.47766
2448.95,3.47766
2451.77,3.47766
2454.58,3.47766
2457.4,3.47766
2460.21,3.47766
2463.02,3.47766
2465.84,3.47767
2468.65,3.47767
2471.46,3.47767
2474.28,3.47767
2477.09,3.47767
2479.9,3.47767
2482.72,3.47767
2485.53,3.47767
2488.34,3.47767
2491.16,3.47768
2493.97,3.47768
2496.78,3.47768
2499.6,3.47768
2502.41,3.47768
2505.23,3.47768
2508.04,3.47768
2510.85,3.47768
2513.67,3.47768
2516.48,3.47768
2519.29,3.47769
2522.11,3.47769
2524.92,3.47769
2527.73,3.47769
2530.55,3.47769
2533.36,3.47769
2536.17,3.47769
2538.99,3.47769
2541.8,3.47769
2544.61,3.4777
2547.43,3.4777
2550.24,3.4777
2553.05,3.4777
2555.87,3.4777
2558.68,3.4777
2561.5,3.4777
2564.31,3.4777
2567.12,3.4777
2569.94,3.47771
2572.75,3.47771
2575.56,3.47771
2578.38,3.47771
2581.19,3.47771
2584,3.47771
2586.82,3.47771
2589.63,3.47771
2592.44,3.47771
2595.26,3.47772
2598.07,3.47772
2600.88,3.47772
2603.7,3.47772
2606.51,3.47772
2609.32,3.47772
2612.14,3.47772
2614.95,3.47772
2617.77,3.47772
2620.58,3.47773
2623.39,3.47773
2626.21,3.47773
2629.02,3.47773
2631.83,3.47773
2634.65,3.47773
2637.46,3.47773
2640.27,3.47773
2643.09,3.47773
2645.9,3.47774
2648.71,3.47774
2651.53,3.47774
2654.34,3.47774
2657.15,3.47774
2659.97,3.47774
2662.78,3.47774
2665.59,3.47774
2668.41,3.47774
2671.22,3.47775
2674.04,3.47775
2676.85,3.47775
2679.66,3.47775
2682.48,3.47775
2685.29,3.47775
2688.1,3.47775
2690.92,3.47775
2693.73,3.47775
2696.54,3.47776
2699.36,3.47776
2702.17,3.47776
2704.98,3.47776
2707.8,3.47776
2710.61,3.47776
2713.42,3.47776
2716.24,3.47776
2719.05,3.47776
2721.86,3.47777
2724.68,3.47777
2727.49,3.47777
2730.31,3.47777
2733.12,3.47777
2735.93,3.47777
2738.75,3.47777
2741.56,3.47777
2744.37,3.47778
2747.19,3.47778
2750,3.47778
2752.81,3.47778
2755.63,3.47778
2758.44,3.47778
2761.25,3.47778
2764.07,3.47778
2766.88,3.47778
2769.69,3.47779
2772.51,3.47779
2775.32,3.47779
2778.14,3.47779
2780.95,3.47779
2783.76,3.47779
2786.58,3.47779
2789.39,3.47779
2792.2,3.4778
2795.02,3.4778
2797.83,3.4778
2800.64,3.4778
2803.46,3.4778
2806.27,3.4778
2809.08,3.4778
2811.9,3.4778
2814.71,3.4778
2817.52,3.47781
2820.34,3.47781
2823.15,3.47781
2825.96,3.47781
2828.78,3.47781
2831.59,3.47781
2834.41,3.47781
2837.22,3.47781
2840.03,3.47782
2842.85,3.47782
2845.66,3.47782
2848.47,3.47782
2851.29,3.47782
2854.1,3.47782
2856.91,3.47782
2859.73,3.47782
2862.54,3.47783
2865.35,3.47783
2868.17,3.47783
2870.98,3.47783
2873.79,3.47783
2876.61,3.47783
2879.42,3.47783
2882.23,3.47783
2885.05,3.47783
2887.86,3.47784
2890.68,3.47784
2893.49,3.47784
2896.3,3.47784
2899.12,3.47784
2901.93,3.47784
2904.74,3.47784
2907.56,3.47784
2910.37,3.47785
2913.18,3.47785
2916,3.47785
2918.81,3.47785
2921.62,3.47785
2924.44,3.47785
2927.25,3.47785
2930.06,3.47785
2932.88,3.47786
2935.69,3.47786
2938.5,3.47786
2941.32,3.47786
2944.13,3.47786
2946.95,3.47786
2949.76,3.47786
2952.57,3.47786
2955.39,3.47787
2958.2,3.47787
2961.01,3.47787
2963.83,3.47787
2966.64,3.47787
2969.45,3.47787
2972.27,3.47787
2975.08,3.47788
2977.89,3.47788
2980.71,3.47788
2983.52,3.47788
2986.33,3.47788
2989.15,3.47788
2991.96,3.47788
2994.77,3.47788
2997.59,3.47789
3000.4,3.47789
3003.22,3.47789
3006.03,3.47789
3008.84,3.47789
3011.66,3.47789
3014.47,3.47789
3017.28,3.47789
3020.1,3.4779
3022.91,3.4779
3025.72,3.4779
3028.54,3.4779
3031.35,3.4779
3034.16,3.4779
3036.98,3.4779
3039.79,3.4779
3042.6,3.47791
3045.42,3.47791
3048.23,3.47791
3051.05,3.47791
3053.86,3.47791
3056.67,3.47791
3059.49,3.47791
3062.3,3.47792
3065.11,3.47792
3067.93,3.47792
3070.74,3.47792
3073.55,3.47792
3076.37,3.47792
3079.18,3.47792
3081.99,3.47792
3084.81,3.47793
3087.62,3.47793
3090.43,3.47793
3093.25,3.47793
3096.06,3.47793
3098.87,3.47793
3101.69,3.47793
3104.5,3.47793
3107.32,3.47794
3110.13,3.47794
3112.94,3.47794
3115.76,3.47794
3118.57,3.47794
3121.38,3.47794
3124.2,3.47794
3127.01,3.47795
3129.82,3.47795
3132.64,3.47795
3135.45,3.47795
3138.26,3.47795
3141.08,3.47795
3143.89,3.47795
3146.7,3.47796
3149.52,3.47796
3152.33,3.47796
3155.14,3.47796
3157.96,3.47796
3160.77,3.47796
3163.59,3.47796
3166.4,3.47796
3169.21,3.47797
3172.03,3.47797
3174.84,3.47797
3177.65,3.47797
3180.47,3.47797
3183.28,3.47797
3186.09,3.47797
3188.91,3.47798
3191.72,3.47798
3194.53,3.47798
3197.35,3.47798
3200.16,3.47798
3202.97,3.47798
3205.79,3.47798
3208.6,3.47799
3211.41,3.47799
3214.23,3.47799
3217.04,3.47799
3219.86,3.47799
3222.67,3.47799
3225.48,3.47799
3228.3,3.47799
3231.11,3.478
3233.92,3.478
3236.74,3.478
3239.55,3.478
3242.36,3.478
3245.18,3.478
3247.99,3.478
3250.8,3.47801
3253.62,3.47801
3256.43,3.47801
3259.24,3.47801
3262.06,3.47801
3264.87,3.47801
3267.68,3.47801
3270.5,3.47802
3273.31,3.47802
3276.13,3.47802
3278.94,3.47802
3281.75,3.47802
3284.57,3.47802
3287.38,3.47802
3290.19,3.47803
3293.01,3.47803
3295.82,3.47803
3298.63,3.47803
3301.45,3.47803
3304.26,3.47803
3307.07,3.47803
3309.89,3.47804
3312.7,3.47804
3315.51,3.47804
3318.33,3.47804
3321.14,3.47804
3323.95,3.47804
3326.77,3.47804
3329.58,3.47805
3332.4,3.47805
3335.21,3.47805
3338.02,3.47805
3340.84,3.47805
3343.65,3.47805
3346.46,3.47805
3349.28,3.47806
3352.09,3.47806
3354.9,3.47806
3357.72,3.47806
3360.53,3.47806
3363.34,3.47806
3366.16,3.47806
3368.97,3.47807
3371.78,3.47807
3374.6,3.47807
3377.41,3.47807
3380.23,3.47807
3383.04,3.47807
3385.85,3.47807
3388.67,3.47808
3391.48,3.47808
3394.29,3.47808
